AnlyTxHack__Account_External_Id__c,Priority,AnlyTxHack__EstimatedClosedDate__c,AnlyTxHack__CSAT__c,Origin,Reason,AnlyTxHack__SLAViolation__c,AnlyTxHack__SLA_Type__c,Status,Subject,AnlyTxHack__Country__c,AnlyTxHack__Solved_By__c,AnlyTxHack__Industry_Type__c
0012w00000LRfvQAAT,Medium,2020-03-02,83,Email,Equipment Design,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Chatbot,Construction
0012w00000LRfvRAAT,Low,2020-03-03,85,Chat,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,Russia,Call center Agent,Health Care
0012w00000LRfvSAAT,Low,2020-03-04,86,Chat,Breakdown,Open Violation,Premium,Closed,Case about Accessories,Canada,Onsite Agent,Manufacturing
0012w00000LRfgHAAT,Low,2020-03-05,78,Phone,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Israel,Self,Consumer Goods
0012w00000LRfgIAAT,Low,2020-03-06,82,Chat,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Australia,Knowledge Portal,Health Care
0012w00000LRfgJAAT,Medium,2020-03-07,85,Phone,Other,Compliant,Basic,Closed,Case about Accessories,Austria,Chatbot,Entertainment
0012w00000LRfgKAAT,Low,2020-03-08,113,Web,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,Belarus,Call center Agent,Computer Software
0012w00000LRfgLAAT,Low,2020-03-09,28,Chat,Feedback,Compliant,Basic,Closed,Case about Accessories,Brazil,Onsite Agent,Construction
0012w00000LRfgMAAT,Low,2020-03-10,99,Web,Installation,Compliant,Premium,Closed,Case about Accessories,Belgium,Self,Health Care
0012w00000LRfgNAAT,Medium,2020-03-11,80,Web,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,China,Knowledge Portal,Manufacturing
0012w00000LRfgOAAT,Low,2020-03-12,93,Phone,Installation,Compliant,Premium,Closed,Case about Accessories,United Arab Emirates,Chatbot,Consumer Goods
0012w00000LRfgPAAT,Low,2020-03-13,96,Phone,Performance,Compliant,Basic,Closed,Case about Accessories,United States of America,Call center Agent,Health Care
0012w00000LRfgQAAT,Low,2020-03-14,37,Email,Feedback,Compliant,Basic,Closed,Case about Accessories,India,Onsite Agent,Entertainment
0012w00000LRfgRAAT,Low,2020-03-15,105,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Self,Computer Software
0012w00000LRfgSAAT,Low,2020-03-16,36,Phone,Feedback,Compliant,Basic,Closed,Case about Accessories,Russia,Knowledge Portal,Construction
0012w00000LRfgTAAT,Low,2020-03-17,100,Chat,Feedback,Compliant,Basic,Closed,Case about Accessories,Canada,Chatbot,Health Care
0012w00000LRfgUAAT,Medium,2020-03-18,73,Phone,Feedback,Compliant,Premium,Closed,Case about Accessories,Israel,Call center Agent,Manufacturing
0012w00000LRfgVAAT,Low,2020-03-19,84,Email,Other,Compliant,Premium,Closed,Case about Accessories,Australia,Onsite Agent,Consumer Goods
0012w00000LRfgWAAT,Medium,2020-03-20,91,Email,Performance,Compliant,Premium,Closed,Case about Accessories,Austria,Self,Health Care
0012w00000LRfgXAAT,Low,2020-03-21,36,Email,Other,Compliant,Premium,Closed,Case about Accessories,Belarus,Knowledge Portal,Entertainment
0012w00000LRfmIAAT,Low,2020-03-22,35,Email,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Brazil,Chatbot,Computer Software
0012w00000LRfmJAAT,Low,2020-03-23,25,Phone,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Belgium,Call center Agent,Computer Software
0012w00000LRfmKAAT,Low,2020-03-24,94,Email,Feedback,Compliant,Basic,Closed,Case about Accessories,China,Onsite Agent,Health Care
0012w00000LRfmLAAT,Low,2020-03-25,30,Chat,Performance,Compliant,Premium,Closed,Case about Accessories,United Arab Emirates,Self,Computer Software
0012w00000LRfmMAAT,Medium,2020-03-26,29,Phone,Other,Compliant,Premium,Closed,Case about Accessories,United States of America,Knowledge Portal,Consumer Goods
0012w00000LRfmNAAT,Low,2020-03-27,91,Phone,Other,Compliant,Premium,Closed,Case about Accessories,India,Chatbot,Health Care
0012w00000LRfmOAAT,Low,2020-03-28,102,Phone,Feedback,Open Violation,Basic,Closed,Case about Accessories,The United Kingdom,Call center Agent,Health Care
0012w00000LRfmPAAT,Medium,2020-03-29,35,Phone,Breakdown,Compliant,Basic,Closed,Case about Accessories,Russia,Onsite Agent,Computer Software
0012w00000LRfmQAAT,Low,2020-03-30,35,Chat,Other,Open Violation,Basic,Closed,Case about Accessories,Canada,Self,Construction
0012w00000LRfmRAAT,Low,2020-03-31,106,Phone,Equipment Complexity,Open Violation,Premium,Closed,Case about Accessories,Israel,Knowledge Portal,Health Care
0012w00000LRfmSAAT,Low,2020-04-01,24,Chat,Performance,Compliant,Basic,Closed,Case about Accessories,Australia,Chatbot,Manufacturing
0012w00000LRfmTAAT,Medium,2020-04-02,33,Email,Installation,Open Violation,Basic,Closed,Case about Accessories,Austria,Call center Agent,Consumer Goods
0012w00000LRfmUAAT,Low,2020-04-03,87,Email,Feedback,Compliant,Basic,Closed,Case about Accessories,Belarus,Onsite Agent,Health Care
0012w00000LRfmVAAT,Low,2020-04-04,97,Phone,Breakdown,Compliant,Basic,Closed,Case about Accessories,Brazil,Self,Health Care
0012w00000LRfmWAAT,Low,2020-04-05,98,Web,Equipment Design,Compliant,Premium,Closed,Case about Accessories,Belgium,Knowledge Portal,Computer Software
0012w00000LRfmXAAT,Medium,2020-04-06,88,Web,Feedback,Compliant,Basic,Closed,Case about Accessories,China,Chatbot,Computer Software
0012w00000LRfmYAAT,High,2020-04-07,85,Web,Performance,Compliant,Basic,Closed,Case about Accessories,United Arab Emirates,Call center Agent,Health Care
0012w00000LRfmZAAT,Low,2020-04-08,87,Web,Feedback,Compliant,Basic,Closed,Case about Accessories,United States of America,Onsite Agent,Computer Software
0012w00000LRfmaAAD,Low,2020-04-09,25,Web,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,India,Self,Consumer Goods
0012w00000LRfmbAAD,Low,2020-04-10,98,Web,Other,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Knowledge Portal,Health Care
0012w00000LRfmcAAD,Medium,2020-04-11,115,Chat,Performance,Open Violation,Premium,Closed,Case about Accessories,Russia,Chatbot,Health Care
0012w00000LRfmdAAD,Low,2020-04-12,110,Chat,Installation,Compliant,Basic,Closed,Case about Accessories,Canada,Call center Agent,Computer Software
0012w00000LRfmeAAD,Medium,2020-04-13,98,Web,Breakdown,Compliant,Premium,Closed,Case about Accessories,Israel,Onsite Agent,Computer Software
0012w00000LRfmfAAD,Medium,2020-04-14,95,Chat,Performance,Compliant,Premium,Closed,Case about Accessories,Australia,Self,Health Care
0012w00000LRfmgAAD,Low,2020-04-15,89,Web,Feedback,Compliant,Basic,Closed,Case about Accessories,Austria,Knowledge Portal,Computer Software
0012w00000LRfrvAAD,Medium,2020-04-16,39,Chat,Installation,Compliant,Basic,Closed,Case about Accessories,Belarus,Chatbot,Consumer Goods
0012w00000LRfrwAAD,Medium,2020-04-17,19,Phone,Other,Compliant,Premium,Closed,Case about Accessories,Brazil,Call center Agent,Travel
0012w00000LRfrxAAD,Medium,2020-04-18,26,Chat,Breakdown,Compliant,Premium,Closed,Case about Accessories,Belgium,Onsite Agent,Entertainment
0012w00000LRfryAAD,Low,2020-04-19,84,Email,Breakdown,Open Violation,Basic,Closed,Case about Accessories,China,Self,Computer Software
0012w00000LRfrzAAD,Medium,2020-04-20,108,Email,Equipment Design,Compliant,Premium,Closed,Case about Accessories,United Arab Emirates,Knowledge Portal,Health Care
0012w00000LRfs0AAD,Medium,2020-04-21,86,Email,Breakdown,Compliant,Basic,Closed,Case about Accessories,United States of America,Chatbot,Health Care
0012w00000LRfs1AAD,Low,2020-04-22,79,Web,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,India,Call center Agent,Computer Software
0012w00000LRfs2AAD,Low,2020-04-23,42,Chat,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Onsite Agent,Consumer Goods
0012w00000LRfs3AAD,Medium,2020-04-24,77,Phone,Breakdown,Compliant,Basic,Closed,Case about Accessories,Russia,Self,Health Care
0012w00000LRfs4AAD,Low,2020-04-25,97,Chat,Performance,Open Violation,Basic,Working,Case about Accessories,Canada,Knowledge Portal,Computer Software
0012w00000LRfs5AAD,Low,2020-04-26,93,Phone,Equipment Complexity,Compliant,Basic,Working,Case about Accessories,Israel,Chatbot,Computer Software
0012w00000LRfs6AAD,Low,2020-04-27,39,Email,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Australia,Call center Agent,Construction
0012w00000LRfs7AAD,Medium,2020-04-28,64,Email,Feedback,Compliant,Premium,Closed,Case about Accessories,Austria,Onsite Agent,Health Care
0012w00000LRfs8AAD,Low,2020-04-29,73,Phone,Performance,Compliant,Premium,Working,Case about Accessories,Belarus,Self,Computer Software
0012w00000LRfs9AAD,Low,2020-04-30,28,Web,Equipment Design,Compliant,Basic,On Hold,Case about Accessories,Brazil,Knowledge Portal,Consumer Goods
0012w00000LRfsAAAT,Low,2020-05-01,74,Chat,Installation,Compliant,Basic,Working,Case about Accessories,Belgium,Chatbot,Health Care
0012w00000LRfsBAAT,Low,2020-05-02,88,Web,Equipment Complexity,Compliant,Basic,On Hold,Case about Accessories,China,Call center Agent,Health Care
0012w00000LRfsCAAT,High,2020-05-03,66,Phone,Equipment Design,Compliant,Basic,Working,Case about Accessories,United Arab Emirates,Onsite Agent,Computer Software
0012w00000LRfsDAAT,Low,2020-05-04,89,Email,Equipment Design,Compliant,Basic,Warning,Case about Accessories,United States of America,Self,Computer Software
0012w00000LRfsEAAT,Low,2020-05-05,93,Web,Performance,Compliant,Premium,On Hold,Case about Accessories,India,Knowledge Portal,Health Care
0012w00000LRfsFAAT,Medium,2020-05-06,37,Email,Equipment Design,Compliant,Basic,Working,Case about Accessories,The United Kingdom,Chatbot,Manufacturing
0012w00000LRfsGAAT,Low,2020-05-07,36,Phone,Other,Compliant,Premium,Waiting on Customer,Case about Accessories,Russia,Call center Agent,Consumer Goods
0012w00000LRfsHAAT,Low,2020-05-08,93,Chat,Equipment Design,Compliant,Premium,On Hold,Case about Accessories,Canada,Onsite Agent,Health Care
0012w00000LRfsIAAT,Medium,2020-05-09,91,Phone,Performance,Compliant,Basic,Working,Case about Accessories,Israel,Self,Health Care
0012w00000LRfvTAAT,Low,2020-05-10,66,Phone,Equipment Complexity,Compliant,Basic,Working,Case about Accessories,Australia,Knowledge Portal,Computer Software
0012w00000LRfvUAAT,Low,2020-05-11,89,Web,Feedback,Compliant,Basic,Working,Case about Accessories,Austria,Chatbot,Computer Software
0012w00000LRfvVAAT,Medium,2020-05-12,86,Web,Performance,Compliant,Basic,Closed,Case about Accessories,Belarus,Call center Agent,Health Care
0012w00000LRfvWAAT,Low,2020-05-13,77,Web,Feedback,Compliant,Basic,Closed,Case about Accessories,Brazil,Onsite Agent,Computer Software
0012w00000LRfvXAAT,Medium,2020-05-14,27,Web,Breakdown,Compliant,Basic,Closed,Case about Accessories,Belgium,Self,Consumer Goods
0012w00000LRfvYAAT,Low,2020-05-15,114,Email,Installation,Compliant,Premium,Closed,Case about Accessories,China,Knowledge Portal,Health Care
0012w00000LRfvZAAT,Medium,2020-05-16,46,Email,Feedback,Compliant,Basic,Closed,Case about Accessories,United Arab Emirates,Chatbot,Entertainment
0012w00000LRfvaAAD,High,2020-05-17,75,Email,Equipment Design,Compliant,Basic,Closed,Case about Accessories,United States of America,Call center Agent,Computer Software
0012w00000LRfvbAAD,Low,2020-05-18,44,Web,Performance,Compliant,Basic,Closed,Case about Accessories,India,Onsite Agent,Construction
0012w00000LRfvcAAD,Low,2020-05-19,97,Email,Installation,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Self,Health Care
0012w00000LRfvdAAD,Medium,2020-05-20,86,Chat,Performance,Compliant,Basic,Closed,Case about Accessories,Russia,Knowledge Portal,Computer Software
0012w00000LRfveAAD,Medium,2020-05-21,38,Phone,Performance,Compliant,Basic,Closed,Case about Accessories,Canada,Chatbot,Consumer Goods
0012w00000LRfvfAAD,Low,2020-05-22,18,Web,Installation,Compliant,Basic,Closed,Case about Accessories,Israel,Call center Agent,Travel
0012w00000LRfvgAAD,Low,2020-05-23,36,Chat,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,Australia,Onsite Agent,Entertainment
0012w00000LRfvhAAD,Low,2020-05-24,80,Chat,Breakdown,Compliant,Basic,Closed,Case about Accessories,Austria,Self,Computer Software
0012w00000LRfviAAD,Low,2020-05-25,100,Web,Installation,Compliant,Basic,Closed,Case about Accessories,Belarus,Knowledge Portal,Computer Software
0012w00000LRfvjAAD,Low,2020-05-26,103,Chat,Performance,Compliant,Basic,Closed,Case about Accessories,Brazil,Chatbot,Health Care
0012w00000LRfvkAAD,Medium,2020-05-27,88,Phone,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,Belgium,Call center Agent,Computer Software
0012w00000LRfvlAAD,Low,2020-05-28,28,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,China,Onsite Agent,Consumer Goods
0012w00000LRfvmAAD,Low,2020-05-29,22,Chat,Equipment Design,Compliant,Basic,Closed,Case about Accessories,United Arab Emirates,Self,Travel
0012w00000LRfvnAAD,Medium,2020-05-30,30,Phone,Installation,Open Violation,Basic,Closed,Case about Accessories,United States of America,Knowledge Portal,Entertainment
0012w00000LRfvoAAD,Medium,2020-05-31,100,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,India,Chatbot,Computer Software
0012w00000LRfvpAAD,Low,2020-06-01,39,Phone,Other,Compliant,Premium,Closed,Case about Accessories,The United Kingdom,Call center Agent,Construction
0012w00000LRfvqAAD,Low,2020-06-02,90,Phone,Feedback,Compliant,Basic,Closed,Case about Accessories,Russia,Onsite Agent,Health Care
0012w00000LRfvrAAD,Low,2020-06-03,28,Web,Breakdown,Compliant,Premium,Closed,Case about Accessories,Canada,Self,Manufacturing
0012w00000LRfgYAAT,Low,2020-06-04,45,Chat,Installation,Compliant,Basic,Closed,Case about Accessories,Israel,Knowledge Portal,Consumer Goods
0012w00000LRfgZAAT,Medium,2020-06-05,25,Chat,Performance,Compliant,Basic,Closed,Case about Accessories,Australia,Chatbot,Travel
0012w00000LRfgaAAD,Low,2020-06-06,33,Email,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Austria,Call center Agent,Entertainment
0012w00000LRfgbAAD,Low,2020-06-07,92,Chat,Installation,Compliant,Basic,Closed,Case about Accessories,Belarus,Onsite Agent,Computer Software
0012w00000LRfgcAAD,Low,2020-06-08,35,Chat,Feedback,Compliant,Premium,Closed,Case about Accessories,Brazil,Self,Construction
0012w00000LRfgdAAD,Medium,2020-06-09,80,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Belgium,Knowledge Portal,Health Care
0012w00000LRfgeAAD,Low,2020-06-10,33,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,China,Chatbot,Manufacturing
0012w00000LRfgfAAD,Low,2020-06-11,31,Phone,Other,Compliant,Basic,Closed,Case about Accessories,United Arab Emirates,Call center Agent,Consumer Goods
0012w00000LRfggAAD,Low,2020-06-12,62,Phone,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,United States of America,Onsite Agent,Health Care
0012w00000LRfghAAD,Low,2020-06-13,38,Phone,Feedback,Compliant,Basic,Closed,Case about Accessories,India,Self,Entertainment
0012w00000LRfgiAAD,Low,2020-06-14,94,Chat,Feedback,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Knowledge Portal,Computer Software
0012w00000LRfgjAAD,Low,2020-06-15,21,Web,Performance,Compliant,Basic,Closed,Case about Accessories,Russia,Chatbot,Construction
0012w00000LRfgkAAD,Medium,2020-06-16,78,Chat,Equipment Design,Compliant,Premium,Closed,Case about Accessories,Canada,Call center Agent,Health Care
0012w00000LRfglAAD,Low,2020-06-17,33,Chat,Feedback,Compliant,Basic,Closed,Case about Accessories,Israel,Onsite Agent,Manufacturing
0012w00000LRfgmAAD,Medium,2020-06-18,35,Phone,Performance,Compliant,Basic,Closed,Case about Accessories,Australia,Self,Consumer Goods
0012w00000LRfgnAAD,Low,2020-06-19,105,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Austria,Knowledge Portal,Health Care
0012w00000LRfgoAAD,Low,2020-06-20,40,Phone,Installation,Compliant,Basic,Closed,Case about Accessories,Belarus,Chatbot,Entertainment
0012w00000LRfgpAAD,Low,2020-06-21,108,Web,Performance,Compliant,Premium,Closed,Case about Accessories,Brazil,Call center Agent,Computer Software
0012w00000LRfgqAAD,Medium,2020-06-22,35,Chat,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Belgium,Onsite Agent,Construction
0012w00000LRfgrAAD,Medium,2020-06-23,92,Email,Performance,Compliant,Basic,Closed,Case about Accessories,China,Self,Health Care
0012w00000LRfgsAAD,Low,2020-06-24,38,Email,Equipment Design,Compliant,Basic,Closed,Case about Accessories,United Arab Emirates,Knowledge Portal,Manufacturing
0012w00000LRfgtAAD,Low,2020-06-25,38,Web,Equipment Design,Compliant,Premium,Closed,Case about Accessories,United States of America,Chatbot,Consumer Goods
0012w00000LRfguAAD,Low,2020-06-26,76,Phone,Breakdown,Compliant,Premium,Closed,Case about Accessories,India,Call center Agent,Health Care
0012w00000LRfmhAAD,Low,2020-06-27,25,Email,Other,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Onsite Agent,Entertainment
0012w00000LRfmiAAD,Low,2020-06-28,104,Phone,Other,Open Violation,Premium,Closed,Case about Accessories,Russia,Self,Computer Software
0012w00000LRfmjAAD,Medium,2020-06-29,22,Chat,Feedback,Compliant,Basic,Closed,Case about Accessories,Canada,Knowledge Portal,Construction
0012w00000LRfmkAAD,Low,2020-06-30,98,Chat,Feedback,Compliant,Basic,Closed,Case about Accessories,Israel,Chatbot,Health Care
0012w00000LRfmlAAD,Medium,2020-07-01,35,Web,Breakdown,Compliant,Basic,Closed,Case about Accessories,Australia,Call center Agent,Manufacturing
0012w00000LRfsJAAT,Low,2020-07-02,77,Chat,Breakdown,Compliant,Basic,On Hold,Case about Accessories,Austria,Onsite Agent,Consumer Goods
0012w00000LRfsKAAT,High,2020-07-03,98,Phone,Feedback,Compliant,Premium,Closed,Case about Accessories,Belarus,Self,Health Care
0012w00000LRfsLAAT,Low,2020-07-04,40,Phone,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Brazil,Knowledge Portal,Entertainment
