AnlyTxHack__ExternalAccountId__c,Amount,CloseDate,AnlyTxHack__Company_Size__c,AnlyTxHack__Industry_Type__c,LeadSource,Name,AnlyTxHack__Opportunity_Source__c,AnlyTxHack__Region__c,StageName,Type,AnlyTxHack__Country__c
0012w00000Lz0ZcAAJ,18960,02-02-2020 00:00,0-25,Entertainment,Partner,Opportunity for Pearson374,AE,LATAM,Closed Won,New Business,Australia
0012w00000Lz0W1AAJ,1573350,03-02-2020 00:00,0-25,Human Resource,Partner,Opportunity for Clayton375,Alliances,NAM,Qualification,New Business,Austria
0012w00000Lz0UcAAJ,1318960,04-02-2020 00:00,Over 201,Construction,Advertisement,Opportunity for Mathis376,AE,APAC,Closed Won,New Business,Belarus
0012w00000Lz0h6AAB,3039400,05-02-2020 00:00,Over 201,Manufacturing,Public Relations,Opportunity for Gray19,AE,EMEA,Closed Won,New Business,Brazil
0012w00000Lz0WgAAJ,1595250,06-02-2020 00:00,26-200,Entertainment,Advertisement,Opportunity for Hawkins22,Marketing,LATAM,Needs Analysis,New Business,Belgium
0012w00000Lz0fjAAB,788800,08-02-2020 00:00,Over 201,Human Resource,Trade Show,Opportunity for Cox29,BDR,NAM,Perception Analysis,Existing Business,China
0012w00000Lz0dLAAR,88200,09-02-2020 00:00,Over 201,Entertainment,Trade Show,Opportunity for Butler33,BDR,LATAM,Closed Won,New Business / Add-on,United Arab Emirates
0012w00000Lz0hQAAR,390885,10-02-2020 00:00,Over 201,Human Resource,Trade Show,Opportunity for Alvarez35,AE,NAM,Closed Won,Existing Business,United States of America
0012w00000Lz0hLAAR,112725,11-02-2020 00:00,0-25,Travel,Partner,Opportunity for Nunez37,AE,APAC,Closed Lost,New Business / Add-on,India
0012w00000Lz0f5AAB,431194,12-02-2020 00:00,Over 201,Travel,Partner,Opportunity for Wilkins38,BDR,APAC,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0b6AAB,2218900,13-02-2020 00:00,Over 201,Human Resource,Web,Opportunity for Stevens152,BDR,NAM,Closed Lost,Existing Business,Russia
0012w00000Lz0ZTAAZ,3173450,14-02-2020 00:00,Over 201,Construction,Public Relations,Opportunity for Vega154,AE,APAC,Closed Won,New Business,Canada
0012w00000Lz0UhAAJ,276000,15-02-2020 00:00,Over 201,Travel,Web,Opportunity for Moss156,BDR,APAC,Closed Lost,New Business / Add-on,Israel
0012w00000Lz0jGAAR,313425,16-02-2020 00:00,26-200,Travel,Employee Referral,Opportunity for Hunt157,AE,APAC,Value Proposition,New Business,Australia
0012w00000Lz0aSAAR,389120,17-02-2020 00:00,Over 201,Travel,Advertisement,Opportunity for Todd162,AE,APAC,Qualification,New Business / Add-on,Austria
0012w00000Lz0XvAAJ,1241600,18-02-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Snyder164,AE,LATAM,Closed Won,New Business,Belarus
0012w00000Lz0jbAAB,5280,19-02-2020 00:00,Over 201,Travel,Partner,Opportunity for Nichols171,BDR,APAC,Closed Won,New Business,Brazil
0012w00000Lz0gvAAB,3145700,20-02-2020 00:00,Over 201,Construction,Trade Show,Opportunity for Robinson174,BDR,APAC,Closed Lost,New Business / Add-on,Belgium
0012w00000Lz0V9AAJ,1668500,21-02-2020 00:00,0-25,Travel,Seminar - Internal,Opportunity for Cunningham175,AE,APAC,Closed Lost,New Business / Add-on,China
0012w00000Lz0UqAAJ,157900,22-02-2020 00:00,Over 201,Construction,Web,Opportunity for Bush283,AE,APAC,Closed Lost,New Business,United Arab Emirates
0012w00000Lz0ZjAAJ,624510,23-02-2020 00:00,Over 201,Entertainment,Employee Referral,Opportunity for Pearson288,Marketing,LATAM,Qualification,New Business,United States of America
0012w00000Lz0hIAAR,3168250,24-02-2020 00:00,Over 201,Entertainment,Web,Opportunity for Higgins293,BDR,LATAM,Closed Won,Existing Business,India
0012w00000Lz0ZmAAJ,605000,25-02-2020 00:00,26-200,Travel,Employee Referral,Opportunity for Armstrong296,AE,APAC,Perception Analysis,New Business,The United Kingdom
0012w00000Lz0djAAB,115290,26-02-2020 00:00,Over 201,Travel,Employee Referral,Opportunity for Francis298,Marketing,APAC,Closed Won,New Business / Add-on,Russia
0012w00000Lz0jSAAR,458680,27-02-2020 00:00,26-200,Human Resource,Employee Referral,Opportunity for McBride299,AE,NAM,Closed Lost,New Business,Canada
0012w00000Lz0fJAAR,397710,28-02-2020 00:00,0-25,Travel,Public Relations,Opportunity for Miller300,AE,APAC,Negotiation/Review,New Business,Israel
0012w00000Lz0X3AAJ,5166200,29-02-2020 00:00,Over 201,Manufacturing,Public Relations,Opportunity for Cross303,Alliances,EMEA,Closed Won,New Business,Australia
0012w00000Lz0XaAAJ,789160,01-03-2020 00:00,26-200,Entertainment,Word of mouth,Opportunity for Figueroa377,Marketing,LATAM,Closed Won,New Business / Add-on,Austria
0012w00000Lz0XLAAZ,2022400,03-03-2020 00:00,Over 201,Consumer Goods,Employee Referral,Opportunity for May386,BDR,NAM,Closed Won,New Business,Belarus
0012w00000Lz0hPAAR,2124300,04-03-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Hart387,Marketing,LATAM,Closed Won,New Business / Add-on,Brazil
0012w00000Lz0bAAAR,1405500,05-03-2020 00:00,0-25,Construction,Partner,Opportunity for Perry395,Marketing,APAC,Needs Analysis,New Business,Belgium
0012w00000Lz0Z5AAJ,329425,06-03-2020 00:00,Over 201,Manufacturing,Advertisement,Opportunity for Nunez399,Marketing,EMEA,Closed Won,New Business / Add-on,China
0012w00000Lz0dQAAR,412385,07-03-2020 00:00,Over 201,Construction,Partner,Opportunity for Goodwin400,BDR,APAC,Closed Won,New Business / Add-on,United Arab Emirates
0012w00000Lz0gVAAR,449700,08-03-2020 00:00,Over 201,Entertainment,Trade Show,Opportunity for Diaz177,Alliances,LATAM,Needs Analysis,New Business,United States of America
0012w00000Lz0U4AAJ,39960,09-03-2020 00:00,Over 201,Consumer Goods,Word of mouth,Opportunity for Shaw178,AE,NAM,Negotiation/Review,New Business,India
0012w00000Lz0e8AAB,552000,10-03-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Lambert182,Marketing,LATAM,Needs Analysis,New Business / Add-on,The United Kingdom
0012w00000Lz0g7AAB,2859100,11-03-2020 00:00,Over 201,Computer Software,Word of mouth,Opportunity for Blair183,Alliances,EMEA,Needs Analysis,New Business,Russia
0012w00000Lz0YgAAJ,238018,12-03-2020 00:00,Over 201,Construction,Advertisement,Opportunity for Barber186,BDR,APAC,Closed Won,New Business,Canada
0012w00000Lz0WuAAJ,40380,13-03-2020 00:00,0-25,Entertainment,Word of mouth,Opportunity for Rogers193,BDR,LATAM,Qualification,New Business / Add-on,Israel
0012w00000Lz0WvAAJ,155600,14-03-2020 00:00,26-200,Human Resource,Trade Show,Opportunity for Frazier196,Alliances,NAM,Perception Analysis,New Business / Add-on,Australia
0012w00000Lz0X3AAJ,676500,15-03-2020 00:00,Over 201,Manufacturing,Public Relations,Opportunity for Phelps203,AE,EMEA,Closed Won,New Business,Austria
0012w00000Lz0jTAAR,1411200,16-03-2020 00:00,0-25,Manufacturing,Word of mouth,Opportunity for Phelps205,BDR,EMEA,Closed Won,Existing Business,Belarus
0012w00000Lz0gzAAB,218798,17-03-2020 00:00,26-200,Manufacturing,Word of mouth,Opportunity for Morton406,AE,EMEA,Closed Won,New Business / Add-on,Brazil
0012w00000Lz0dsAAB,411166,18-03-2020 00:00,0-25,Construction,Partner,Opportunity for Porter410,Alliances,APAC,Closed Won,Existing Business,Belgium
0012w00000Lz0XVAAZ,591520,19-03-2020 00:00,26-200,Manufacturing,Web,Opportunity for McKenzie412,Marketing,EMEA,Closed Won,New Business / Add-on,China
0012w00000Lz0ZJAAZ,142400,21-03-2020 00:00,0-25,Manufacturing,Employee Referral,Opportunity for Abbott414,AE,EMEA,Closed Won,New Business,United Arab Emirates
0012w00000Lz0ehAAB,254886,22-03-2020 00:00,Over 201,Entertainment,Trade Show,Opportunity for West206,AE,LATAM,Closed Won,New Business,United States of America
0012w00000Lz0ZhAAJ,980500,23-03-2020 00:00,0-25,Construction,Partner,Opportunity for Horton207,Marketing,APAC,Closed Won,New Business,India
0012w00000Lz0ZJAAZ,11883,24-03-2020 00:00,0-25,Manufacturing,Partner,Opportunity for Huff45,Marketing,EMEA,Closed Lost,New Business,The United Kingdom
0012w00000Lz0b0AAB,77270,25-03-2020 00:00,Over 201,Manufacturing,Word of mouth,Opportunity for Johnston49,AE,EMEA,Closed Lost,Existing Business,Russia
0012w00000Lz0aUAAR,857500,26-03-2020 00:00,26-200,Construction,Word of mouth,Opportunity for Potter50,Marketing,APAC,Negotiation/Review,New Business,Canada
0012w00000Lz0YEAAZ,353136,27-03-2020 00:00,26-200,Construction,Word of mouth,Opportunity for Jordan57,AE,APAC,Closed Won,New Business / Add-on,Israel
0012w00000Lz0UAAAZ,465500,28-03-2020 00:00,26-200,Construction,Public Relations,Opportunity for Moss58,Marketing,APAC,Prospecting,New Business / Add-on,Australia
0012w00000Lz0X1AAJ,1790440,03-04-2020 00:00,Over 201,Entertainment,Public Relations,Opportunity for Saunders86,AE,LATAM,Closed Won,New Business / Add-on,Austria
0012w00000Lz0WhAAJ,3464115,05-04-2020 00:00,0-25,Human Resource,Partner,Opportunity for Hughes209,BDR,NAM,Value Proposition,Existing Business,Belarus
0012w00000Lz0YlAAJ,601500,07-04-2020 00:00,Over 201,Travel,Trade Show,Opportunity for Lopez212,BDR,APAC,Closed Lost,Existing Business,Brazil
0012w00000Lz0j8AAB,1113000,09-04-2020 00:00,Over 201,Manufacturing,Employee Referral,Opportunity for Cain216,AE,EMEA,Closed Won,New Business,Belgium
0012w00000Lz0UcAAJ,150043,10-04-2020 00:00,Over 201,Construction,Word of mouth,Opportunity for Johnson217,AE,APAC,Closed Won,Existing Business,China
0012w00000Lz0VvAAJ,466200,12-04-2020 00:00,0-25,Manufacturing,Trade Show,Opportunity for Becker221,Marketing,EMEA,Qualification,New Business / Add-on,United Arab Emirates
0012w00000Lz0YPAAZ,17000,14-04-2020 00:00,Over 201,Manufacturing,Public Relations,Opportunity for Lee231,AE,EMEA,Closed Lost,New Business,United States of America
0012w00000Lz0VTAAZ,852720,15-04-2020 00:00,Over 201,Manufacturing,Public Relations,Opportunity for Burns308,BDR,EMEA,Closed Lost,Existing Business,India
0012w00000Lz0bBAAR,395835,16-04-2020 00:00,26-200,Consumer Goods,Employee Referral,Opportunity for Smith309,AE,NAM,Closed Won,New Business,The United Kingdom
0012w00000Lz0TwAAJ,2887700,17-04-2020 00:00,Over 201,Construction,Word of mouth,Opportunity for Pope310,BDR,APAC,Proposal/Price Quote,Existing Business,Russia
0012w00000Lz0jLAAR,32480,18-04-2020 00:00,Over 201,Human Resource,Employee Referral,Opportunity for Tyler313,BDR,NAM,Perception Analysis,Existing Business,Canada
0012w00000Lz0fVAAR,4561,19-04-2020 00:00,0-25,Human Resource,Partner,Opportunity for McGee320,AE,NAM,Perception Analysis,Existing Business,Israel
0012w00000Lz0fiAAB,1207960,20-04-2020 00:00,26-200,Entertainment,Employee Referral,Opportunity for Olson321,BDR,LATAM,Closed Won,Existing Business,Australia
0012w00000Lz0d9AAB,368530,21-04-2020 00:00,Over 201,Manufacturing,Employee Referral,Opportunity for Holland322,BDR,EMEA,Closed Won,Existing Business,Austria
0012w00000Lz0U4AAJ,2454990,23-04-2020 00:00,Over 201,Consumer Goods,Partner,Opportunity for Castillo325,Marketing,NAM,Qualification,New Business,Belarus
0012w00000Lz0bOAAR,2855840,24-04-2020 00:00,Over 201,Construction,Partner,Opportunity for Klein103,AE,APAC,Qualification,Existing Business,Brazil
0012w00000Lz0WeAAJ,65070,25-04-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Ramirez108,AE,APAC,Closed Lost,New Business,Belgium
0012w00000Lz0jeAAB,1498260,26-04-2020 00:00,26-200,Consumer Goods,Employee Referral,Opportunity for Jones110,Alliances,NAM,Closed Lost,New Business / Add-on,China
0012w00000Lz0UPAAZ,140105,27-04-2020 00:00,26-200,Consumer Goods,Word of mouth,Opportunity for Adkins111,AE,NAM,Closed Lost,Existing Business,United Arab Emirates
0012w00000Lz0TwAAJ,1010900,28-04-2020 00:00,Over 201,Construction,Partner,Opportunity for Lynch113,AE,APAC,Closed Won,New Business,United States of America
0012w00000Lz0j4AAB,3847700,29-04-2020 00:00,26-200,Construction,Trade Show,Opportunity for Carroll233,AE,APAC,Needs Analysis,New Business / Add-on,India
0012w00000Lz0dCAAR,257198,30-04-2020 00:00,26-200,Construction,Word of mouth,Opportunity for Murphy234,AE,APAC,Closed Won,Existing Business,The United Kingdom
0012w00000Lz0dzAAB,620200,01-05-2020 00:00,Over 201,Construction,Advertisement,Opportunity for Butler235,Alliances,APAC,Closed Lost,Existing Business,Russia
0012w00000Lz0WeAAJ,256275,02-05-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Rodgers237,AE,APAC,Closed Won,New Business / Add-on,Canada
0012w00000Lz0YSAAZ,2983800,03-05-2020 00:00,0-25,Construction,Seminar - Internal,Opportunity for Willis238,AE,APAC,Closed Won,New Business,Israel
0012w00000Lz0VXAAZ,1259840,05-05-2020 00:00,0-25,Consumer Goods,Employee Referral,Opportunity for Barnett252,BDR,NAM,Closed Lost,Existing Business,Australia
0012w00000Lz0WnAAJ,773640,06-05-2020 00:00,0-25,Entertainment,Advertisement,Opportunity for Cooper256,Marketing,LATAM,Closed Won,Existing Business,Austria
0012w00000Lz0YSAAZ,1567780,07-05-2020 00:00,0-25,Construction,Trade Show,Opportunity for Campbell329,AE,APAC,Closed Won,New Business,Belarus
0012w00000Lz0UuAAJ,526200,08-05-2020 00:00,Over 201,Manufacturing,Advertisement,Opportunity for Reynolds330,AE,EMEA,Closed Lost,New Business / Add-on,Brazil
0012w00000Lz0VFAAZ,3612800,09-05-2020 00:00,0-25,Manufacturing,Employee Referral,Opportunity for Fletcher332,Marketing,EMEA,Needs Analysis,New Business / Add-on,Belgium
0012w00000Lz0XOAAZ,2210350,10-05-2020 00:00,26-200,Manufacturing,Employee Referral,Opportunity for Shaw336,AE,EMEA,Closed Won,New Business / Add-on,China
0012w00000Lz0c4AAB,749210,12-05-2020 00:00,Over 201,Construction,Partner,Opportunity for Brooks342,AE,APAC,Closed Won,New Business,United Arab Emirates
0012w00000Lz0idAAB,987000,13-05-2020 00:00,Over 201,Consumer Goods,Partner,Opportunity for Gomez345,BDR,NAM,Closed Won,New Business,United States of America
0012w00000Lz0ZzAAJ,489886,14-05-2020 00:00,0-25,Manufacturing,Partner,Opportunity for Lamb346,AE,EMEA,Closed Lost,New Business,India
0012w00000Lz0YGAAZ,219000,15-05-2020 00:00,0-25,Entertainment,Trade Show,Opportunity for Fuller347,Marketing,LATAM,Closed Won,New Business,The United Kingdom
0012w00000Lz0bVAAR,830675,17-05-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Murray689,Marketing,APAC,Closed Lost,New Business,Russia
0012w00000Lz0iPAAR,594760,21-05-2020 00:00,0-25,Consumer Goods,Trade Show,Opportunity for Ingram699,Marketing,NAM,Perception Analysis,Existing Business,Canada
0012w00000Lz0UxAAJ,236040,23-05-2020 00:00,0-25,Construction,Web,Opportunity for Weber1078,BDR,APAC,Closed Won,New Business / Add-on,Israel
0012w00000Lz0grAAB,567000,25-05-2020 00:00,0-25,Human Resource,Web,Opportunity for Maxwell1082,AE,NAM,Value Proposition,New Business / Add-on,Australia
0012w00000Lz0fbAAB,2303500,26-05-2020 00:00,0-25,Entertainment,Seminar - Internal,Opportunity for Soto1087,BDR,LATAM,Closed Won,New Business / Add-on,Austria
0012w00000Lz0dxAAB,2086050,27-05-2020 00:00,0-25,Travel,Public Relations,Opportunity for Alvarez1088,AE,APAC,Perception Analysis,New Business,Belarus
0012w00000Lz0faAAB,5839810,28-05-2020 00:00,26-200,Consumer Goods,Employee Referral,Opportunity for Hunter1091,Marketing,NAM,Perception Analysis,New Business,Brazil
0012w00000Lz0VeAAJ,446850,29-05-2020 00:00,26-200,Consumer Goods,Web,Opportunity for Chandler1451,AE,NAM,Closed Won,New Business / Add-on,Belgium
0012w00000Lz0jFAAR,822800,31-05-2020 00:00,Over 201,Manufacturing,Word of mouth,Opportunity for Bates1455,Alliances,EMEA,Needs Analysis,New Business / Add-on,China
0012w00000Lz0fnAAB,237840,01-06-2020 00:00,0-25,Construction,Advertisement,Opportunity for Fisher1458,Alliances,APAC,Closed Won,New Business / Add-on,United Arab Emirates
0012w00000Lz0XaAAJ,844100,02-06-2020 00:00,26-200,Entertainment,Partner,Opportunity for Paul1460,Marketing,LATAM,Prospecting,New Business,United States of America
0012w00000Lz0fWAAR,683100,03-06-2020 00:00,26-200,Manufacturing,Advertisement,Opportunity for Cruz1461,Marketing,EMEA,Closed Lost,New Business,India
0012w00000Lz0VXAAZ,1794340,04-06-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for Jacobs1464,BDR,NAM,Closed Lost,New Business,The United Kingdom
0012w00000Lz0VTAAZ,1518400,06-06-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Cross1834,Marketing,EMEA,Closed Won,New Business / Add-on,Russia
0012w00000Lz0WUAAZ,380500,07-06-2020 00:00,26-200,Manufacturing,Word of mouth,Opportunity for McGee1836,Alliances,EMEA,Closed Lost,New Business / Add-on,Canada
0012w00000Lz0ZJAAZ,133800,09-06-2020 00:00,0-25,Manufacturing,Employee Referral,Opportunity for Lawson1843,AE,EMEA,Closed Won,New Business,United States of America
0012w00000Lz0XSAAZ,103690,10-06-2020 00:00,26-200,Consumer Goods,Employee Referral,Opportunity for Medina1844,Marketing,NAM,Closed Lost,Existing Business,India
0012w00000Lz0ZjAAJ,154353,12-06-2020 00:00,Over 201,Entertainment,Advertisement,Opportunity for Ramos1851,BDR,LATAM,Closed Won,Existing Business,The United Kingdom
0012w00000Lz0YUAAZ,951000,13-06-2020 00:00,Over 201,Entertainment,Partner,Opportunity for Adams708,BDR,LATAM,Needs Analysis,New Business,Russia
0012w00000Lz0hXAAR,2745600,15-06-2020 00:00,0-25,Human Resource,Advertisement,Opportunity for Morgan713,Marketing,NAM,Closed Won,Existing Business,Canada
0012w00000Lz0Y1AAJ,98850,16-06-2020 00:00,Over 201,Consumer Goods,Web,Opportunity for Massey714,AE,NAM,Closed Won,New Business,Israel
0012w00000Lz0eAAAR,532950,17-06-2020 00:00,26-200,Manufacturing,Word of mouth,Opportunity for Freeman717,Marketing,EMEA,Value Proposition,Existing Business,Australia
0012w00000Lz0dzAAB,498880,18-06-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Maldonado720,AE,APAC,Closed Lost,New Business,Austria
0012w00000Lz0ceAAB,650350,19-06-2020 00:00,Over 201,Consumer Goods,Advertisement,Opportunity for Reeves721,Marketing,NAM,Closed Lost,New Business / Add-on,Belarus
0012w00000Lz0fQAAR,987930,20-06-2020 00:00,0-25,Travel,Partner,Opportunity for Joseph722,Alliances,APAC,Needs Analysis,Existing Business,Brazil
0012w00000Lz0jdAAB,1394000,21-06-2020 00:00,Over 201,Construction,Web,Opportunity for Silva728,Alliances,APAC,Closed Won,Existing Business,Belgium
0012w00000Lz0WPAAZ,281412,22-06-2020 00:00,0-25,Computer Software,Employee Referral,Opportunity for Simpson729,AE,EMEA,Closed Lost,New Business,China
0012w00000Lz0g2AAB,175770,23-06-2020 00:00,Over 201,Consumer Goods,Employee Referral,Opportunity for Pope1093,BDR,NAM,Closed Won,New Business,United Arab Emirates
0012w00000Lz0VhAAJ,1750200,26-06-2020 00:00,Over 201,Manufacturing,Employee Referral,Opportunity for Mills1099,Marketing,EMEA,Value Proposition,New Business / Add-on,United States of America
0012w00000Lz0UcAAJ,2598300,27-06-2020 00:00,Over 201,Construction,Web,Opportunity for Keller1100,BDR,APAC,Needs Analysis,Existing Business,India
0012w00000Lz0eoAAB,2340210,28-06-2020 00:00,26-200,Entertainment,Advertisement,Opportunity for Todd1101,BDR,LATAM,Qualification,New Business,The United Kingdom
0012w00000Lz0cYAAR,2371900,01-07-2020 00:00,Over 201,Entertainment,Employee Referral,Opportunity for Myers1105,Alliances,LATAM,Qualification,New Business / Add-on,Russia
0012w00000Lz0VMAAZ,439140,03-07-2020 00:00,0-25,Manufacturing,Trade Show,Opportunity for Parsons1107,AE,EMEA,Closed Lost,New Business / Add-on,Canada
0012w00000Lz0cwAAB,499523,04-07-2020 00:00,Over 201,Travel,Trade Show,Opportunity for Gardner1110,BDR,APAC,Closed Lost,New Business,Israel
0012w00000Lz0ewAAB,762410,06-07-2020 00:00,26-200,Human Resource,Employee Referral,Opportunity for Rodriquez1114,AE,NAM,Qualification,New Business,Australia
0012w00000Lz0ZPAAZ,786220,07-07-2020 00:00,0-25,Human Resource,Employee Referral,Opportunity for Tyler1115,AE,NAM,Closed Lost,New Business / Add-on,Austria
0012w00000Lz0UBAAZ,339815,08-07-2020 00:00,0-25,Consumer Goods,Employee Referral,Opportunity for West1117,AE,NAM,Closed Won,New Business,Belarus
0012w00000Lz0bDAAR,3907275,09-07-2020 00:00,Over 201,Human Resource,Seminar - Internal,Opportunity for Rodriquez1469,AE,NAM,Closed Won,New Business / Add-on,Brazil
0012w00000Lz0g8AAB,436500,10-07-2020 00:00,Over 201,Construction,Seminar - Internal,Opportunity for Martin1471,BDR,APAC,Closed Won,New Business,Belgium
0012w00000Lz0YEAAZ,937550,11-07-2020 00:00,26-200,Construction,Word of mouth,Opportunity for Simpson1472,AE,APAC,Value Proposition,New Business,China
0012w00000Lz0azAAB,237283,03-01-2020 00:00,26-200,Human Resource,Partner,Opportunity for Beck799,Marketing,NAM,Closed Lost,New Business / Add-on,Israel
0012w00000Lz0XgAAJ,229470,05-01-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for George802,BDR,NAM,Closed Won,Existing Business,Australia
0012w00000Lz0doAAB,1640210,07-01-2020 00:00,Over 201,Human Resource,Trade Show,Opportunity for Osborne1170,BDR,NAM,Closed Won,New Business / Add-on,Austria
0012w00000Lz0ZEAAZ,2135800,08-01-2020 00:00,0-25,Computer Software,Advertisement,Opportunity for Rhodes1171,Marketing,EMEA,Closed Lost,New Business / Add-on,Belarus
0012w00000Lz0Y1AAJ,452200,09-01-2020 00:00,Over 201,Consumer Goods,Partner,Opportunity for Knight1172,Marketing,NAM,Closed Lost,New Business,Brazil
0012w00000Lz0XhAAJ,538820,10-01-2020 00:00,26-200,Entertainment,Partner,Opportunity for Carson1177,BDR,LATAM,Closed Lost,New Business / Add-on,Belgium
0012w00000Lz0V3AAJ,137400,11-01-2020 00:00,0-25,Computer Software,Employee Referral,Opportunity for Padilla1183,BDR,EMEA,Negotiation/Review,New Business,China
0012w00000Lz0eCAAR,637600,12-01-2020 00:00,Over 201,Computer Software,Trade Show,Opportunity for Abbott1184,Marketing,EMEA,Closed Lost,Existing Business,United Arab Emirates
0012w00000Lz0VSAAZ,3729975,13-01-2020 00:00,26-200,Human Resource,Word of mouth,Opportunity for Rice1187,AE,NAM,Qualification,New Business,United States of America
