AnlyTxHack__Date_Reported__c,AnlyTxHack__Country_Code__c,AnlyTxHack__Country__c,AnlyTxHack__New_Cases__c,AnlyTxHack__Cumulative_Cases__c,AnlyTxHack__New_Deaths__c,AnlyTxHack__Cumulative_Deaths__c
2020-05-07,AF,Afghanistan,171,3563,1,105
2020-05-08,AF,Afghanistan,0,3563,0,105
2020-05-09,AF,Afghanistan,478,4041,10,115
2020-05-10,AF,Afghanistan,361,4402,4,119
2020-05-11,AF,Afghanistan,262,4664,2,121
2020-05-12,AF,Afghanistan,303,4967,6,127
2020-05-13,AF,Afghanistan,259,5226,3,130
2020-05-14,AF,Afghanistan,113,5339,6,136
2020-05-15,AF,Afghanistan,714,6053,17,153
2020-05-16,AF,Afghanistan,349,6402,15,168
2020-05-17,AF,Afghanistan,262,6664,1,169
2020-05-18,AF,Afghanistan,408,7072,4,173
2020-05-19,AF,Afghanistan,583,7655,4,177
2020-05-20,AF,Afghanistan,490,8145,10,187
2020-05-21,AF,Afghanistan,531,8676,6,193
2020-05-22,AF,Afghanistan,540,9216,12,205
2020-05-23,AF,Afghanistan,736,9952,10,215
2020-05-24,AF,Afghanistan,716,10668,7,222
2020-05-25,AF,Afghanistan,512,11180,1,223
2020-05-26,AF,Afghanistan,737,11917,1,224
2020-05-27,AF,Afghanistan,548,12465,6,230
2020-05-28,AF,Afghanistan,637,13102,9,239
2020-05-29,AF,Afghanistan,643,13745,11,250
2020-05-30,AF,Afghanistan,784,14529,2,252
2020-05-31,AF,Afghanistan,651,15180,2,254
2020-06-01,AF,Afghanistan,656,15836,15,269
2020-06-02,AF,Afghanistan,742,16578,5,274
2020-06-03,AF,Afghanistan,775,17353,24,298
2020-06-04,AF,Afghanistan,624,17977,5,303
2020-06-05,AF,Afghanistan,1078,19055,10,313
2020-06-06,AF,Afghanistan,582,19637,18,331
2020-06-07,AF,Afghanistan,791,20428,30,361
2020-06-08,AF,Afghanistan,575,21003,12,373
2020-06-09,AF,Afghanistan,305,21308,7,380
2020-06-10,AF,Afghanistan,920,22228,29,409
2020-06-11,AF,Afghanistan,748,22976,21,430
2020-06-12,AF,Afghanistan,656,23632,20,450
2020-06-13,AF,Afghanistan,556,24188,5,455
2020-06-14,AF,Afghanistan,664,24852,20,475
2020-06-15,AF,Afghanistan,761,25613,5,480
2020-06-16,AF,Afghanistan,106,25719,8,488
2020-06-17,AF,Afghanistan,1241,26960,20,508
2020-06-18,AF,Afghanistan,463,27423,42,550
2020-06-19,AF,Afghanistan,541,27964,2,552
2020-06-20,AF,Afghanistan,419,28383,0,552
2020-06-21,AF,Afghanistan,536,28919,33,585
2020-06-22,AF,Afghanistan,310,29229,17,602
2020-06-23,AF,Afghanistan,338,29567,20,622
2020-06-24,AF,Afghanistan,159,29726,21,643
2020-06-25,AF,Afghanistan,535,30261,36,679
2020-06-26,AF,Afghanistan,85,30346,5,684
2020-06-27,AF,Afghanistan,356,30702,23,707
2020-06-28,AF,Afghanistan,351,31053,26,733
2020-06-29,AF,Afghanistan,271,31324,4,737
2020-06-30,AF,Afghanistan,121,31445,2,739
2020-07-01,AF,Afghanistan,403,31848,39,778
2020-07-02,AF,Afghanistan,260,32108,33,811
2020-07-03,AF,Afghanistan,302,32410,12,823
2020-07-04,AF,Afghanistan,348,32758,7,830
2020-07-05,AF,Afghanistan,279,33037,38,868
2020-07-06,AF,Afghanistan,113,33150,23,891
2020-07-07,AF,Afghanistan,320,33470,33,924
2020-07-08,AF,Afghanistan,210,33680,16,940
2020-07-09,AF,Afghanistan,59,33739,1,941
2020-07-10,AF,Afghanistan,541,34280,34,975
2020-07-11,AF,Afghanistan,157,34437,4,979
2020-07-12,AF,Afghanistan,100,34537,35,1014
2020-07-13,AF,Afghanistan,4,34541,2,1016
2020-07-14,AF,Afghanistan,285,34826,33,1049
2020-07-15,AF,Afghanistan,200,35026,49,1098
2020-07-16,AF,Afghanistan,130,35156,19,1117
2020-07-17,AF,Afghanistan,159,35315,34,1151
2020-07-18,AF,Afghanistan,60,35375,0,1151
2020-07-19,AF,Afghanistan,186,35561,34,1185
2020-07-20,AF,Afghanistan,34,35595,2,1187
2020-07-21,AF,Afghanistan,106,35701,1,1188
2020-07-22,AF,Afghanistan,112,35813,6,1194
2020-07-23,AF,Afghanistan,188,36001,21,1215
2020-07-24,AF,Afghanistan,66,36067,14,1229
2020-07-25,AF,Afghanistan,55,36122,21,1250
2020-07-26,AF,Afghanistan,121,36243,13,1263
2020-07-27,AF,Afghanistan,106,36349,10,1273
2020-07-28,AF,Afghanistan,105,36454,1,1274
2020-07-29,AF,Afghanistan,103,36557,1,1275
2020-07-30,AF,Afghanistan,71,36628,0,1275
2020-07-31,AF,Afghanistan,0,36628,0,1275
2020-08-01,AF,Afghanistan,168,36796,12,1287
2020-08-02,AF,Afghanistan,0,36796,0,1287
2020-08-03,AF,Afghanistan,0,36796,0,1287
2020-08-04,AF,Afghanistan,37,36833,5,1292
2020-08-05,AF,Afghanistan,82,36915,6,1298
2020-08-06,AF,Afghanistan,67,36982,4,1302
2020-08-07,AF,Afghanistan,41,37023,0,1302
2020-08-08,AF,Afghanistan,78,37101,9,1311
2020-08-09,AF,Afghanistan,39,37140,5,1316
2020-08-10,AF,Afghanistan,0,37140,0,1316
2020-08-11,AF,Afghanistan,215,37355,32,1348
2020-08-12,AF,Afghanistan,76,37431,10,1358
2020-08-13,AF,Afghanistan,79,37510,9,1367
2020-08-14,AF,Afghanistan,7,37517,0,1367
2020-08-15,AF,Afghanistan,120,37637,7,1374
2020-08-16,AF,Afghanistan,45,37682,5,1379
2020-08-17,AF,Afghanistan,0,37682,0,1379
2020-08-18,AF,Afghanistan,3,37685,0,1379
2020-08-19,AF,Afghanistan,0,37685,0,1379
2020-08-20,AF,Afghanistan,160,37845,8,1387
2020-08-21,AF,Afghanistan,97,37942,2,1389
2020-08-22,AF,Afghanistan,38,37980,0,1389
2020-08-23,AF,Afghanistan,59,38039,0,1389
2020-08-24,AF,Afghanistan,46,38085,2,1391
2020-08-25,AF,Afghanistan,71,38156,10,1401
2020-08-26,AF,Afghanistan,43,38199,4,1405
2020-08-27,AF,Afghanistan,16,38215,0,1405
2020-08-28,AF,Afghanistan,11,38226,1,1406
2020-08-29,AF,Afghanistan,3,38229,0,1406
2020-08-30,AF,Afghanistan,0,38229,0,1406
2020-08-31,AF,Afghanistan,19,38248,0,1406
2020-09-01,AF,Afghanistan,34,38282,4,1410
2020-09-02,AF,Afghanistan,47,38329,3,1413
2020-09-03,AF,Afghanistan,45,38374,0,1413
2020-09-04,AF,Afghanistan,0,38374,0,1413
2020-09-05,AF,Afghanistan,16,38390,0,1413
2020-09-06,AF,Afghanistan,94,38484,3,1416
2020-09-07,AF,Afghanistan,96,38580,3,1419
2020-09-08,AF,Afghanistan,26,38606,3,1422
2020-09-09,AF,Afghanistan,24,38630,2,1424
2020-09-10,AF,Afghanistan,28,38658,0,1424
2020-09-11,AF,Afghanistan,34,38692,0,1424
2020-09-12,AF,Afghanistan,35,38727,0,1424
2020-09-13,AF,Afghanistan,75,38802,0,1424
2020-09-14,AF,Afghanistan,56,38858,5,1429
2020-09-15,AF,Afghanistan,43,38901,1,1430
2020-09-16,AF,Afghanistan,40,38941,10,1440
2020-09-17,AF,Afghanistan,17,38958,0,1440
2020-09-18,AF,Afghanistan,11,38969,1,1441
2020-09-19,AF,Afghanistan,36,39005,0,1441
2020-09-20,AF,Afghanistan,125,39130,4,1445
2020-09-21,AF,Afghanistan,30,39160,3,1448
2020-09-22,AF,Afghanistan,22,39182,1,1449
2020-09-23,AF,Afghanistan,49,39231,1,1450
2020-09-24,AF,Afghanistan,25,39256,5,1455
2020-09-25,AF,Afghanistan,16,39272,0,1455
2020-09-26,AF,Afghanistan,6,39278,2,1457
2020-09-27,AF,Afghanistan,35,39313,0,1457
2020-09-28,AF,Afghanistan,12,39325,3,1460
2020-09-29,AF,Afghanistan,15,39340,2,1462
2020-09-30,AF,Afghanistan,14,39354,0,1462
2020-10-01,AF,Afghanistan,17,39371,0,1462
2020-10-02,AF,Afghanistan,5,39376,0,1462
2020-10-03,AF,Afghanistan,7,39383,4,1466
2020-10-04,AF,Afghanistan,44,39427,0,1466
2020-10-05,AF,Afghanistan,81,39508,4,1470
2020-10-06,AF,Afghanistan,64,39572,1,1471
2020-10-07,AF,Afghanistan,62,39634,2,1473
2020-10-08,AF,Afghanistan,68,39702,1,1474
2020-10-09,AF,Afghanistan,77,39779,2,1476
2020-10-10,AF,Afghanistan,10,39789,1,1477
2020-10-11,AF,Afghanistan,96,39885,4,1481
2020-10-12,AF,Afghanistan,71,39956,2,1483
2020-10-13,AF,Afghanistan,58,40014,1,1484
2020-10-14,AF,Afghanistan,66,40080,1,1485
2020-10-15,AF,Afghanistan,32,40112,0,1485
2020-10-16,AF,Afghanistan,47,40159,4,1489
2020-10-17,AF,Afghanistan,68,40227,3,1492
2020-10-18,AF,Afghanistan,59,40286,4,1496
2020-10-19,AF,Afghanistan,87,40373,5,1501
2020-10-20,AF,Afghanistan,88,40461,2,1503
2020-10-21,AF,Afghanistan,0,40461,0,1503
2020-10-22,AF,Afghanistan,49,40510,0,1503
2020-10-23,AF,Afghanistan,116,40626,2,1505
2020-10-24,AF,Afghanistan,61,40687,2,1507
2020-10-25,AF,Afghanistan,81,40768,4,1511
2020-10-26,AF,Afghanistan,65,40833,3,1514
2020-10-27,AF,Afghanistan,104,40937,4,1518
2020-10-28,AF,Afghanistan,95,41032,5,1523
2020-10-29,AF,Afghanistan,113,41145,6,1529
2020-10-30,AF,Afghanistan,123,41268,3,1532
2020-10-31,AF,Afghanistan,66,41334,1,1533
2020-11-01,AF,Afghanistan,91,41425,3,1536
2020-11-02,AF,Afghanistan,76,41501,0,1536
2020-11-03,AF,Afghanistan,132,41633,5,1541
2020-11-04,AF,Afghanistan,95,41728,3,1544
2020-11-05,AF,Afghanistan,86,41814,4,1548
2020-11-06,AF,Afghanistan,121,41935,6,1554
2020-11-07,AF,Afghanistan,40,41975,0,1554
2020-11-08,AF,Afghanistan,58,42033,2,1556
2020-11-09,AF,Afghanistan,126,42159,6,1562
2020-11-10,AF,Afghanistan,138,42297,12,1574
2020-11-11,AF,Afghanistan,166,42463,3,1577
2020-11-12,AF,Afghanistan,146,42609,4,1581
2020-11-13,AF,Afghanistan,186,42795,10,1591
2020-11-14,AF,Afghanistan,174,42969,4,1595
2020-11-15,AF,Afghanistan,66,43035,10,1605
2020-11-16,AF,Afghanistan,205,43240,12,1617
2020-11-17,AF,Afghanistan,163,43403,9,1626
2020-11-18,AF,Afghanistan,225,43628,12,1638
2020-11-19,AF,Afghanistan,223,43851,7,1645
2020-11-20,AF,Afghanistan,377,44228,5,1650
2020-11-21,AF,Afghanistan,215,44443,11,1661
2020-11-22,AF,Afghanistan,60,44503,14,1675
2020-11-23,AF,Afghanistan,203,44706,12,1687
2020-11-24,AF,Afghanistan,282,44988,8,1695
2020-11-25,AF,Afghanistan,290,45278,17,1712
2020-11-26,AF,Afghanistan,212,45490,13,1725
2020-01-03,AL,Albania,0,0,0,0
2020-01-04,AL,Albania,0,0,0,0
2020-01-05,AL,Albania,0,0,0,0
2020-01-06,AL,Albania,0,0,0,0
2020-01-07,AL,Albania,0,0,0,0
2020-01-08,AL,Albania,0,0,0,0
2020-01-09,AL,Albania,0,0,0,0
2020-01-10,AL,Albania,0,0,0,0
2020-01-11,AL,Albania,0,0,0,0
2020-01-12,AL,Albania,0,0,0,0
2020-01-13,AL,Albania,0,0,0,0
2020-01-14,AL,Albania,0,0,0,0
2020-01-15,AL,Albania,0,0,0,0
2020-01-16,AL,Albania,0,0,0,0
2020-01-17,AL,Albania,0,0,0,0
2020-01-18,AL,Albania,0,0,0,0
2020-01-19,AL,Albania,0,0,0,0
2020-01-20,AL,Albania,0,0,0,0
2020-01-21,AL,Albania,0,0,0,0
2020-01-22,AL,Albania,0,0,0,0
2020-01-23,AL,Albania,0,0,0,0
2020-01-24,AL,Albania,0,0,0,0
2020-01-25,AL,Albania,0,0,0,0
2020-01-26,AL,Albania,0,0,0,0
2020-01-27,AL,Albania,0,0,0,0
2020-01-28,AL,Albania,0,0,0,0
2020-01-29,AL,Albania,0,0,0,0
2020-01-30,AL,Albania,0,0,0,0
2020-01-31,AL,Albania,0,0,0,0
2020-02-01,AL,Albania,0,0,0,0
2020-02-02,AL,Albania,0,0,0,0
2020-02-03,AL,Albania,0,0,0,0
2020-02-04,AL,Albania,0,0,0,0
2020-02-05,AL,Albania,0,0,0,0
2020-02-06,AL,Albania,0,0,0,0
2020-02-07,AL,Albania,0,0,0,0
2020-02-08,AL,Albania,0,0,0,0
2020-02-09,AL,Albania,0,0,0,0
2020-02-10,AL,Albania,0,0,0,0
2020-02-11,AL,Albania,0,0,0,0
2020-02-12,AL,Albania,0,0,0,0
2020-02-13,AL,Albania,0,0,0,0
2020-02-14,AL,Albania,0,0,0,0
2020-02-15,AL,Albania,0,0,0,0
2020-02-16,AL,Albania,0,0,0,0
2020-02-17,AL,Albania,0,0,0,0
2020-02-18,AL,Albania,0,0,0,0
2020-02-19,AL,Albania,0,0,0,0
2020-02-20,AL,Albania,0,0,0,0
2020-02-21,AL,Albania,0,0,0,0
2020-02-22,AL,Albania,0,0,0,0
2020-02-23,AL,Albania,0,0,0,0
2020-02-24,AL,Albania,0,0,0,0
2020-02-25,AL,Albania,0,0,0,0
2020-02-26,AL,Albania,0,0,0,0
2020-02-27,AL,Albania,0,0,0,0
2020-02-28,AL,Albania,0,0,0,0
2020-02-29,AL,Albania,0,0,0,0
2020-03-01,AL,Albania,0,0,0,0
2020-03-02,AL,Albania,0,0,0,0
2020-03-03,AL,Albania,0,0,0,0
2020-03-04,AL,Albania,0,0,0,0
2020-03-05,AL,Albania,0,0,0,0
2020-03-06,AL,Albania,0,0,0,0
2020-03-07,AL,Albania,0,0,0,0
2020-03-08,AL,Albania,0,0,0,0
2020-03-09,AL,Albania,2,2,0,0
2020-03-10,AL,Albania,0,2,0,0
2020-03-11,AL,Albania,0,2,0,0
2020-03-12,AL,Albania,1,3,1,1
2020-03-13,AL,Albania,0,3,0,1
2020-03-14,AL,Albania,0,3,0,1
2020-03-15,AL,Albania,0,3,0,1
2020-03-16,AL,Albania,2,5,0,1
2020-03-17,AL,Albania,9,14,0,1
2020-03-18,AL,Albania,4,18,0,1
2020-03-19,AL,Albania,3,21,0,1
2020-03-20,AL,Albania,11,32,0,1
2020-03-21,AL,Albania,19,51,0,1
2020-03-22,AL,Albania,0,51,0,1
2020-03-23,AL,Albania,15,66,2,3
2020-03-24,AL,Albania,19,85,1,4
2020-03-25,AL,Albania,23,108,0,4
2020-03-26,AL,Albania,28,136,1,5
2020-03-27,AL,Albania,12,148,2,7
2020-03-28,AL,Albania,11,159,1,8
2020-03-29,AL,Albania,15,174,1,9
2020-03-30,AL,Albania,11,185,1,10
2020-03-31,AL,Albania,20,205,2,12
2020-04-01,AL,Albania,34,239,2,14
2020-04-02,AL,Albania,0,239,0,14
2020-04-03,AL,Albania,0,239,1,15
2020-04-04,AL,Albania,56,295,1,16
2020-04-05,AL,Albania,0,295,1,17
2020-04-06,AL,Albania,44,339,3,20
2020-04-07,AL,Albania,0,339,1,21
2020-04-08,AL,Albania,23,362,0,21
2020-04-09,AL,Albania,9,371,0,21
2020-04-10,AL,Albania,7,378,1,22
2020-04-11,AL,Albania,0,378,0,22
2020-04-12,AL,Albania,30,408,0,22
2020-04-13,AL,Albania,0,408,0,22
2020-04-14,AL,Albania,29,437,0,22
2020-04-15,AL,Albania,0,437,1,23
2020-04-16,AL,Albania,19,456,1,24
2020-04-17,AL,Albania,24,480,1,25
2020-04-18,AL,Albania,30,510,0,25
2020-04-19,AL,Albania,0,510,0,25
2020-04-20,AL,Albania,14,524,0,25
2020-04-21,AL,Albania,47,571,0,25
2020-04-22,AL,Albania,25,596,0,25
2020-04-23,AL,Albania,0,596,1,26
2020-04-24,AL,Albania,44,640,0,26
2020-04-25,AL,Albania,0,640,0,26
2020-04-26,AL,Albania,34,674,0,26
2020-04-27,AL,Albania,14,688,1,27
2020-04-28,AL,Albania,10,698,0,27
2020-04-29,AL,Albania,30,728,2,29
2020-04-30,AL,Albania,7,735,1,30
2020-05-01,AL,Albania,0,735,0,30
2020-05-02,AL,Albania,16,751,0,30
2020-05-03,AL,Albania,6,757,0,30
2020-05-04,AL,Albania,8,765,0,30
2020-05-05,AL,Albania,17,782,0,30
2020-05-06,AL,Albania,12,794,0,30
2020-05-07,AL,Albania,0,794,0,30
2020-05-08,AL,Albania,18,812,0,30
2020-05-09,AL,Albania,6,818,0,30
2020-05-10,AL,Albania,12,830,0,30
2020-05-11,AL,Albania,0,830,0,30
2020-05-12,AL,Albania,4,834,0,30
2020-05-13,AL,Albania,4,838,0,30
2020-05-14,AL,Albania,4,842,0,30
2020-05-15,AL,Albania,18,860,0,30
2020-05-16,AL,Albania,35,895,0,30
2020-05-17,AL,Albania,13,908,0,30
2020-05-18,AL,Albania,2,910,0,30
2020-05-19,AL,Albania,0,910,0,30
2020-05-20,AL,Albania,16,926,0,30
2020-05-21,AL,Albania,5,931,0,30
2020-05-22,AL,Albania,0,931,0,30
2020-05-23,AL,Albania,12,943,0,30
2020-05-24,AL,Albania,8,951,1,31
2020-05-25,AL,Albania,15,966,0,31
2020-05-26,AL,Albania,25,991,1,32
2020-05-27,AL,Albania,21,1012,0,32
2020-05-28,AL,Albania,26,1038,0,32
2020-05-29,AL,Albania,23,1061,0,32
2020-05-30,AL,Albania,23,1084,0,32
2020-05-31,AL,Albania,14,1098,0,32
2020-06-01,AL,Albania,7,1105,0,32
2020-06-02,AL,Albania,36,1141,0,32
2020-06-03,AL,Albania,20,1161,1,33
2020-06-04,AL,Albania,36,1197,0,33
2020-06-05,AL,Albania,15,1212,0,33
2020-06-06,AL,Albania,20,1232,1,34
2020-06-07,AL,Albania,14,1246,0,34
2020-06-08,AL,Albania,17,1263,0,34
2020-06-09,AL,Albania,36,1299,0,34
2020-06-10,AL,Albania,42,1341,0,34
2020-06-11,AL,Albania,44,1385,0,34
2020-06-12,AL,Albania,31,1416,2,36
2020-06-13,AL,Albania,48,1464,0,36
2020-06-14,AL,Albania,57,1521,0,36
2020-06-15,AL,Albania,69,1590,0,36
2020-06-16,AL,Albania,82,1672,1,37
2020-06-17,AL,Albania,50,1722,1,38
2020-06-18,AL,Albania,66,1788,1,39
2020-06-19,AL,Albania,50,1838,3,42
2020-06-20,AL,Albania,0,1838,0,42
2020-06-21,AL,Albania,53,1891,1,43
2020-06-22,AL,Albania,104,1995,1,44
2020-06-23,AL,Albania,52,2047,1,45
2020-06-24,AL,Albania,67,2114,2,47
2020-06-25,AL,Albania,78,2192,1,48
2020-06-26,AL,Albania,77,2269,3,51
2020-06-27,AL,Albania,61,2330,2,53
2020-06-28,AL,Albania,72,2402,2,55
2020-06-29,AL,Albania,64,2466,3,58
2020-06-30,AL,Albania,69,2535,4,62
2020-07-01,AL,Albania,45,2580,3,65
2020-07-02,AL,Albania,82,2662,4,69
2020-07-03,AL,Albania,90,2752,3,72
2020-07-04,AL,Albania,67,2819,2,74
2020-07-05,AL,Albania,74,2893,2,76
2020-07-06,AL,Albania,71,2964,3,79
2020-07-07,AL,Albania,74,3038,2,81
2020-07-08,AL,Albania,68,3106,2,83
2020-07-09,AL,Albania,82,3188,0,83
2020-07-10,AL,Albania,90,3278,2,85
2020-07-11,AL,Albania,93,3371,4,89
2020-07-12,AL,Albania,83,3454,4,93
2020-07-13,AL,Albania,117,3571,2,95
2020-07-14,AL,Albania,96,3667,2,97
2020-07-15,AL,Albania,85,3752,4,101
2020-07-16,AL,Albania,99,3851,3,104
2020-07-17,AL,Albania,55,3906,3,107
2020-07-18,AL,Albania,0,3906,0,107
2020-07-19,AL,Albania,102,4008,4,111
2020-07-20,AL,Albania,82,4090,1,112
2020-07-21,AL,Albania,81,4171,1,113
2020-07-22,AL,Albania,119,4290,4,117
2020-07-23,AL,Albania,68,4358,3,120
2020-07-24,AL,Albania,108,4466,3,123
2020-07-25,AL,Albania,104,4570,5,128
2020-07-26,AL,Albania,67,4637,6,134
2020-07-27,AL,Albania,126,4763,4,138
2020-07-28,AL,Albania,117,4880,6,144
2020-07-29,AL,Albania,117,4997,4,148
2020-07-30,AL,Albania,108,5105,2,150
2020-07-31,AL,Albania,92,5197,4,154
2020-08-01,AL,Albania,79,5276,3,157
2020-08-02,AL,Albania,120,5396,4,161
2020-08-03,AL,Albania,123,5519,5,166
2020-08-04,AL,Albania,101,5620,6,172
2020-08-05,AL,Albania,130,5750,4,176
2020-08-06,AL,Albania,139,5889,6,182
2020-08-07,AL,Albania,127,6016,6,188
2020-08-08,AL,Albania,135,6151,1,189
2020-08-09,AL,Albania,124,6275,4,193
2020-08-10,AL,Albania,136,6411,6,199
2020-08-11,AL,Albania,125,6536,1,200
2020-08-12,AL,Albania,140,6676,5,205
2020-08-13,AL,Albania,141,6817,3,208
2020-08-14,AL,Albania,154,6971,5,213
2020-08-15,AL,Albania,146,7117,6,219
2020-08-16,AL,Albania,143,7260,6,225
2020-08-17,AL,Albania,120,7380,3,228
2020-08-18,AL,Albania,119,7499,2,230
2020-08-19,AL,Albania,155,7654,2,232
