AnlyTxHack__ExternalAccountId__c,AMOUNT,CLOSEDATE,AnlyTxHack__Company_Size__c,AnlyTxHack__Country__c,AnlyTxHack__Industry_Type__c,LEADSOURCE,NAME,STAGENAME,TYPE
0012w00000LRftpAAD,452200,2020-01-09,Over 201,Brazil,Consumer Goods,Partner,Opportunity for Knight1172,Closed Lost,New Business
0012w00000LRfvgAAD,40480,2020-01-09,Over 201,United Arab Emirates,Construction,Employee Referral,Opportunity for Daniel875,Closed Won,Existing Business
0012w00000LRfhdAAD,2086050,2020-01-09,26-200,The United Kingdom,Consumer Goods,Employee Referral,Opportunity for Hunter1091,Perception Analysis,New Business
0012w00000LRfvCAAT,3618750,2020-01-09,Over 201,Brazil,Entertainment,Partner,Opportunity for Harrison1359,Closed Lost,New Business
0012w00000LRfvtAAD,875880,2020-01-09,Over 201,Austria,Computer Software,Word of mouth,Opportunity for Barnes141,Qualification,New Business / Add-on
0012w00000LRftDAAT,209104,2020-01-09,Over 201,India,Health Care,Trade Show,Opportunity for Osborne1170,Closed Won,New Business / Add-on
0012w00000LRftVAAT,538820,2020-01-10,26-200,Belgium,Entertainment,Partner,Opportunity for Carson1177,Closed Lost,New Business / Add-on
0012w00000LRftAAAT,94151,2020-01-10,0-25,United States of America,Construction,Advertisement,Opportunity for Duncan885,Closed Won,New Business
0012w00000LRfntAAD,5839810,2020-01-10,26-200,Russia,Consumer Goods,Web,Opportunity for Chandler1451,Closed Won,New Business / Add-on
0012w00000LRfsxAAD,54090,2020-01-10,26-200,Belarus,Entertainment,Public Relations,Opportunity for Edwards146,Perception Analysis,New Business
0012w00000LRfjiAAD,63530,2020-01-10,Over 201,Israel,Travel,Word of mouth,Opportunity for Austin1360,Closed Won,New Business
0012w00000LRfoNAAT,2660660,2020-01-10,Over 201,India,Health Care,Employee Referral,Opportunity for Wagner150,Closed Won,Existing Business
0012w00000LRfmTAAT,137400,2020-01-11,0-25,China,Computer Software,Employee Referral,Opportunity for Padilla1183,Negotiation/Review,New Business
0012w00000LRftpAAD,18960,2020-01-11,Over 201,The United Kingdom,Consumer Goods,Partner,Opportunity for Knight1172,Closed Lost,New Business
0012w00000LRfnWAAT,252545,2020-01-11,Over 201,Brazil,Manufacturing,Employee Referral,Opportunity for Williams149,Needs Analysis,New Business
0012w00000LRflOAAT,475597,2020-01-11,Over 201,India,Computer Software,Word of mouth,Opportunity for Cannon1361,Prospecting,New Business / Add-on
0012w00000LRfgCAAT,446850,2020-01-11,Over 201,The United Kingdom,Computer Software,Employee Referral,Opportunity for Grant1452,Negotiation/Review,Existing Business
0012w00000LRfiAAAT,16485,2020-01-11,Over 201,Israel,Computer Software,Web,Opportunity for Stewart887,Prospecting,New Business / Add-on
0012w00000LRfo1AAD,309938,2020-01-11,Over 201,The United Kingdom,Entertainment,Word of mouth,Opportunity for Lewis258,Closed Lost,New Business / Add-on
0012w00000LRfhhAAD,1589440,2020-01-12,Over 201,Russia,Travel,Public Relations,Opportunity for Barrett259,Closed Lost,New Business
0012w00000LRfrHAAT,150240,2020-01-12,Over 201,Belgium,Manufacturing,Word of mouth,Opportunity for Bates1455,Needs Analysis,New Business / Add-on
0012w00000LRfu3AAD,637600,2020-01-12,Over 201,United Arab Emirates,Computer Software,Trade Show,Opportunity for Abbott1184,Closed Lost,Existing Business
0012w00000LRfmSAAT,2169600,2020-01-12,Over 201,India,Travel,Word of mouth,Opportunity for Baker1261,Value Proposition,New Business / Add-on
0012w00000LRftVAAT,1573350,2020-01-12,26-200,Russia,Entertainment,Partner,Opportunity for Carson1177,Closed Lost,New Business / Add-on
0012w00000LRfs6AAD,347730,2020-01-12,0-25,Belgium,Health Care,Employee Referral,Opportunity for Dean1363,Value Proposition,New Business / Add-on
0012w00000LRfoNAAT,25450,2020-01-12,Over 201,Belgium,Health Care,Employee Referral,Opportunity for Wagner150,Closed Won,Existing Business
0012w00000LRfvGAAT,2868400,2020-01-13,26-200,Canada,Computer Software,Public Relations,Opportunity for Dennis260,Needs Analysis,Existing Business
0012w00000LRfhqAAD,822800,2020-01-13,0-25,China,Construction,Advertisement,Opportunity for Fisher1458,Closed Won,New Business / Add-on
0012w00000LRfmTAAT,1318960,2020-01-13,0-25,Canada,Computer Software,Employee Referral,Opportunity for Padilla1183,Closed Lost,New Business
0012w00000LRfvNAAT,1452090,2020-01-13,Over 201,Canada,Computer Software,Employee Referral,Opportunity for Ferguson1365,Prospecting,Existing Business
0012w00000LRfsGAAT,449438,2020-01-13,Over 201,The United Kingdom,Entertainment,Word of mouth,Opportunity for Perkins1263,Closed Lost,Existing Business
0012w00000LRfo1AAD,736250,2020-01-13,Over 201,China,Entertainment,Word of mouth,Opportunity for Lewis258,Closed Lost,New Business / Add-on
0012w00000LRfngAAD,3729975,2020-01-13,26-200,United States of America,Health Care,Word of mouth,Opportunity for Rice1187,Qualification,New Business
0012w00000LRfsxAAD,237840,2020-01-14,26-200,United Arab Emirates,Entertainment,Partner,Opportunity for Paul1460,Prospecting,New Business
0012w00000LRfqeAAD,384840,2020-01-14,26-200,India,Travel,Partner,Opportunity for Vasquez1191,Closed Lost,Existing Business
0012w00000LRfm5AAD,1639550,2020-01-14,Over 201,Russia,Travel,Public Relations,Opportunity for Guerrero1271,Closed Lost,New Business / Add-on
0012w00000LRfu3AAD,3039400,2020-01-14,Over 201,Canada,Computer Software,Trade Show,Opportunity for Abbott1184,Closed Lost,Existing Business
0012w00000LRfpIAAT,979190,2020-01-14,Over 201,Australia,Travel,Advertisement,Opportunity for Pittman263,Closed Won,New Business
0012w00000LRfhhAAD,3251640,2020-01-14,Over 201,United Arab Emirates,Travel,Public Relations,Opportunity for Barrett259,Closed Lost,New Business
0012w00000LRfsQAAT,156655,2020-01-14,Over 201,United Arab Emirates,Travel,Word of mouth,Opportunity for Wilkins1370,Closed Lost,New Business / Add-on
0012w00000LRfh6AAD,844100,2020-01-15,26-200,United States of America,Manufacturing,Advertisement,Opportunity for Cruz1461,Closed Lost,New Business
0012w00000LRfokAAD,580000,2020-01-15,Over 201,Canada,Entertainment,Advertisement,Opportunity for Malone1276,Prospecting,New Business / Add-on
0012w00000LRfqKAAT,206640,2020-01-15,Over 201,Russia,Computer Software,Word of mouth,Opportunity for Holmes265,Closed Lost,New Business
0012w00000LRfoVAAT,3541100,2020-01-15,0-25,China,Manufacturing,Partner,Opportunity for Wilkins1372,Needs Analysis,New Business / Add-on
0012w00000LRfvGAAT,2728890,2020-01-15,26-200,United States of America,Computer Software,Public Relations,Opportunity for Dennis260,Needs Analysis,Existing Business
0012w00000LRftcAAD,7747190,2020-01-15,Over 201,The United Kingdom,Entertainment,Word of mouth,Opportunity for Tate1543,Closed Lost,New Business
0012w00000LRfngAAD,1595250,2020-01-15,26-200,Israel,Health Care,Word of mouth,Opportunity for Rice1187,Qualification,New Business
0012w00000LRfnlAAD,683100,2020-01-16,0-25,India,Consumer Goods,Advertisement,Opportunity for Jacobs1464,Closed Lost,New Business
0012w00000LRftYAAT,27800,2020-01-16,Over 201,Russia,Travel,Partner,Opportunity for Bates1547,Closed Won,New Business / Add-on
0012w00000LRfu8AAD,224800,2020-01-16,26-200,Israel,Manufacturing,Web,Opportunity for Patton1278,Closed Won,New Business
0012w00000LRfqeAAD,1148850,2020-01-16,26-200,Australia,Travel,Partner,Opportunity for Vasquez1191,Closed Lost,Existing Business
0012w00000LRfvxAAD,2649500,2020-01-16,Over 201,United Arab Emirates,Consumer Goods,Partner,Opportunity for Olson1373,Needs Analysis,New Business / Add-on
0012w00000LRfpIAAT,430330,2020-01-16,Over 201,United States of America,Travel,Advertisement,Opportunity for Pittman263,Closed Lost,New Business
0012w00000LRfs3AAD,2664105,2020-01-16,Over 201,Israel,Entertainment,Advertisement,Opportunity for Murphy267,Closed Lost,Existing Business
0012w00000LRfqkAAD,1518190,2020-01-17,0-25,Australia,Manufacturing,Web,Opportunity for Freeman268,Closed Won,New Business
0012w00000LRfonAAD,1794340,2020-01-17,26-200,The United Kingdom,Travel,Advertisement,Opportunity for Lee1827,Closed Won,New Business
0012w00000LRfr8AAD,667200,2020-01-17,Over 201,Canada,Manufacturing,Public Relations,Opportunity for McKinney1548,Closed Won,New Business / Add-on
0012w00000LRfoVAAT,399300,2020-01-17,0-25,Australia,Manufacturing,Web,Opportunity for Chandler1281,Closed Won,New Business
0012w00000LRfqKAAT,2684465,2020-01-17,Over 201,India,Computer Software,Word of mouth,Opportunity for Holmes265,Prospecting,New Business
0012w00000LRftcAAD,788800,2020-01-17,Over 201,Austria,Entertainment,Word of mouth,Opportunity for Tate1543,Closed Lost,New Business
0012w00000LRfkCAAT,932900,2020-01-17,Over 201,United States of America,Health Care,Trade Show,Opportunity for Dennis1374,Closed Won,Existing Business
0012w00000LRfhQAAT,846000,2020-01-18,Over 201,Austria,Travel,Word of mouth,Opportunity for Terry269,Closed Won,New Business / Add-on
0012w00000LRfnhAAD,182000,2020-01-18,Over 201,Russia,Manufacturing,Partner,Opportunity for Cross1834,Closed Won,New Business / Add-on
0012w00000LRfnIAAT,2325850,2020-01-18,Over 201,Israel,Manufacturing,Advertisement,Opportunity for Banks1549,Closed Won,New Business
0012w00000LRftYAAT,88200,2020-01-18,Over 201,Russia,Travel,Partner,Opportunity for Bates1547,Closed Lost,New Business / Add-on
0012w00000LRfraAAD,25739,2020-01-18,26-200,India,Consumer Goods,Seminar - Internal,Opportunity for Buchanan1727,Closed Won,New Business
0012w00000LRfs3AAD,105210,2020-01-18,Over 201,The United Kingdom,Construction,Advertisement,Opportunity for Murphy267,Closed Won,Existing Business
0012w00000LRfhmAAD,2389600,2020-01-18,Over 201,Austria,Health Care,Partner,Opportunity for Bradley1628,Closed Won,New Business / Add-on
0012w00000LRfvhAAD,179225,2020-01-19,Over 201,Belarus,Consumer Goods,Employee Referral,Opportunity for Butler275,Closed Won,New Business
0012w00000LRfqWAAT,1518400,2020-01-19,26-200,Canada,Manufacturing,Word of mouth,Opportunity for McGee1836,Closed Lost,New Business / Add-on
0012w00000LRfr8AAD,390885,2020-01-19,Over 201,Belarus,Manufacturing,Public Relations,Opportunity for McKinney1548,Closed Won,New Business / Add-on
0012w00000LRfrjAAD,1574960,2020-01-19,Over 201,Belarus,Entertainment,Employee Referral,Opportunity for Marsh1634,Needs Analysis,New Business
0012w00000LRfw4AAD,3463920,2020-01-19,26-200,The United Kingdom,Consumer Goods,Employee Referral,Opportunity for White1730,Closed Won,New Business / Add-on
0012w00000LRfqkAAD,63600,2020-01-19,0-25,Russia,Manufacturing,Web,Opportunity for Freeman268,Closed Won,New Business
0012w00000LRfmfAAD,638750,2020-01-19,Over 201,Australia,Health Care,Web,Opportunity for Burgess1551,Closed Won,New Business / Add-on
0012w00000LRfiGAAT,22240,2020-01-20,0-25,Brazil,Manufacturing,Partner,Opportunity for Collier276,Closed Won,New Business / Add-on
0012w00000LRfiBAAT,116360,2020-01-20,Over 201,Austria,Construction,Advertisement,Opportunity for Reynolds1553,Closed Won,New Business / Add-on
0012w00000LRfnIAAT,112725,2020-01-20,Over 201,Brazil,Manufacturing,Advertisement,Opportunity for Banks1549,Closed Won,New Business
0012w00000LRfqpAAD,3915950,2020-01-20,0-25,Brazil,Entertainment,Trade Show,Opportunity for Jacobs1642,Value Proposition,Existing Business
0012w00000LRfhjAAD,112000,2020-01-20,Over 201,Russia,Construction,Word of mouth,Opportunity for Griffin1731,Closed Lost,New Business / Add-on
0012w00000LRfjDAAT,380500,2020-01-20,Over 201,United States of America,Computer Software,Word of mouth,Opportunity for Ramirez1837,Proposal/Price Quote,New Business
0012w00000LRfhQAAT,16843,2020-01-20,Over 201,India,Travel,Word of mouth,Opportunity for Terry269,Closed Lost,New Business / Add-on
0012w00000LRfuUAAT,62400,2020-01-21,Over 201,Belgium,Manufacturing,Seminar - Internal,Opportunity for Alexander278,Closed Won,New Business
0012w00000LRfvWAAT,23245,2020-01-21,0-25,Israel,Manufacturing,Employee Referral,Opportunity for Lawson1843,Closed Won,New Business
0012w00000LRfoQAAT,1886550,2020-01-21,26-200,China,Computer Software,Advertisement,Opportunity for Mitchell1555,Qualification,New Business / Add-on
0012w00000LRfuJAAT,1994920,2020-01-21,Over 201,Canada,Consumer Goods,Advertisement,Opportunity for Marsh1734,Negotiation/Review,New Business
0012w00000LRfvhAAD,680,2020-01-21,Over 201,Canada,Consumer Goods,Employee Referral,Opportunity for Butler275,Closed Won,New Business
0012w00000LRfuqAAD,1379300,2020-01-21,Over 201,Belgium,Health Care,Trade Show,Opportunity for Baker1644,Perception Analysis,New Business
0012w00000LRfmfAAD,431194,2020-01-21,Over 201,Belgium,Health Care,Web,Opportunity for Burgess1551,Closed Won,New Business / Add-on
0012w00000LRfspAAD,133800,2020-01-22,26-200,Australia,Consumer Goods,Employee Referral,Opportunity for Medina1844,Closed Lost,Existing Business
0012w00000LRfsGAAT,1918900,2020-01-22,Over 201,Belarus,Entertainment,Trade Show,Opportunity for Cole1563,Qualification,New Business
0012w00000LRfiBAAT,2218900,2020-01-22,Over 201,China,Construction,Advertisement,Opportunity for Reynolds1553,Closed Won,New Business / Add-on
0012w00000LRfoiAAD,100267,2020-01-22,0-25,China,Construction,Partner,Opportunity for Austin1650,Value Proposition,New Business / Add-on
0012w00000LRfl4AAD,455096,2020-01-22,26-200,Israel,Manufacturing,Partner,Opportunity for Arnold1738,Closed Won,New Business / Add-on
0012w00000LRfiGAAT,1224345,2020-01-22,0-25,Israel,Manufacturing,Partner,Opportunity for Collier276,Closed Won,New Business / Add-on
0012w00000LRfqxAAD,657600,2020-01-22,Over 201,China,Health Care,Partner,Opportunity for Allison281,Closed Won,New Business / Add-on
0012w00000LRfqlAAD,103690,2020-01-23,26-200,Austria,Travel,Word of mouth,Opportunity for Roberts1847,Closed Won,New Business
0012w00000LRfomAAD,14640,2020-01-23,Over 201,Brazil,Manufacturing,Advertisement,Opportunity for Chapman1566,Proposal/Price Quote,New Business / Add-on
0012w00000LRfoQAAT,3173450,2020-01-23,26-200,Australia,Computer Software,Advertisement,Opportunity for Mitchell1555,Qualification,New Business / Add-on
0012w00000LRfgJAAT,895135,2020-01-23,Over 201,United Arab Emirates,Entertainment,Trade Show,Opportunity for Wright1651,Qualification,New Business
0012w00000LRfrlAAD,309686,2020-01-23,Over 201,Australia,Manufacturing,Partner,Opportunity for Meyer1740,Closed Won,Existing Business
0012w00000LRfuUAAT,201572,2020-01-23,Over 201,Australia,Manufacturing,Seminar - Internal,Opportunity for Alexander278,Closed Won,New Business
0012w00000LRfnAAAT,637520,2020-01-23,26-200,United Arab Emirates,Entertainment,Partner,Opportunity for Delgado355,Closed Lost,New Business
0012w00000LRfsGAAT,276000,2020-01-24,Over 201,United Arab Emirates,Entertainment,Trade Show,Opportunity for Cole1563,Qualification,New Business
0012w00000LRfjOAAT,2285700,2020-01-24,0-25,United States of America,Entertainment,Partner,Opportunity for McKenzie1652,Negotiation/Review,New Business
0012w00000LRftvAAD,257045,2020-01-24,0-25,Austria,Travel,Employee Referral,Opportunity for Phillips1742,Closed Lost,New Business / Add-on
0012w00000LRfkLAAT,236610,2020-01-24,0-25,China,Travel,Partner,Opportunity for Munoz1931,Closed Lost,New Business / Add-on
0012w00000LRfnuAAD,690210,2020-01-24,Over 201,United States of America,Entertainment,Advertisement,Opportunity for Bryant359,Closed Lost,New Business / Add-on
0012w00000LRfgYAAT,4824325,2020-01-24,Over 201,Belarus,Entertainment,Advertisement,Opportunity for Ramos1851,Closed Lost,Existing Business
0012w00000LRfqxAAD,386375,2020-01-24,Over 201,Austria,Health Care,Partner,Opportunity for Allison281,Closed Won,New Business / Add-on
0012w00000LRfv5AAD,154353,2020-01-25,Over 201,United Arab Emirates,Entertainment,Partner,Opportunity for Adams708,Needs Analysis,New Business
0012w00000LRfomAAD,313425,2020-01-25,Over 201,United States of America,Manufacturing,Advertisement,Opportunity for Chapman1566,Proposal/Price Quote,New Business / Add-on
0012w00000LRfuGAAT,488860,2020-01-25,26-200,India,Travel,Employee Referral,Opportunity for Newton532,Qualification,New Business / Add-on
0012w00000LRfnAAAT,2649820,2020-01-25,26-200,Belarus,Construction,Partner,Opportunity for Delgado355,Closed Won,New Business
0012w00000LRfuAAAT,2302000,2020-01-25,Over 201,Brazil,Computer Software,Employee Referral,Opportunity for Griffin1933,Qualification,New Business / Add-on
0012w00000LRfhcAAD,136464,2020-01-25,Over 201,India,Entertainment,Word of mouth,Opportunity for Wise361,Prospecting,New Business
0012w00000LRfrMAAT,1337090,2020-01-25,Over 201,Belarus,Entertainment,Word of mouth,Opportunity for Smith1744,Closed Lost,New Business
0012w00000LRft8AAD,49760,2020-01-26,Over 201,United Arab Emirates,Travel,Web,Opportunity for Joseph1936,Closed Won,New Business
0012w00000LRfiHAAT,951000,2020-01-26,26-200,United States of America,Travel,Word of mouth,Opportunity for Luna711,Closed Won,New Business
0012w00000LRfkLAAT,389120,2020-01-26,0-25,India,Travel,Partner,Opportunity for Munoz1931,Closed Won,New Business / Add-on
0012w00000LRfkiAAD,20440,2020-01-26,26-200,India,Computer Software,Employee Referral,Opportunity for Hunt362,Closed Lost,New Business
0012w00000LRfugAAD,1580935,2020-01-26,0-25,Brazil,Consumer Goods,Trade Show,Opportunity for Rhodes1746,Qualification,New Business
0012w00000LRfnuAAD,1979000,2020-01-26,Over 201,Brazil,Entertainment,Advertisement,Opportunity for Bryant359,Closed Lost,New Business / Add-on
0012w00000LRfmHAAT,413100,2020-01-26,Over 201,The United Kingdom,Health Care,Advertisement,Opportunity for Schwartz533,Closed Won,New Business / Add-on
0012w00000LRfplAAD,364760,2020-01-27,Over 201,United States of America,Entertainment,Web,Opportunity for Todd1938,Prospecting,New Business
0012w00000LRfhcAAD,1183700,2020-01-27,Over 201,Belgium,Construction,Word of mouth,Opportunity for Wise361,Prospecting,New Business
0012w00000LRfuAAAT,1241600,2020-01-27,Over 201,China,Computer Software,Employee Referral,Opportunity for Griffin1933,Prospecting,New Business / Add-on
0012w00000LRfonAAD,535160,2020-01-27,26-200,Belgium,Travel,Partner,Opportunity for Todd1747,Closed Lost,New Business
0012w00000LRfnOAAT,2345840,2020-01-27,26-200,The United Kingdom,Health Care,Seminar - Internal,Opportunity for Scott363,Closed Won,New Business / Add-on
0012w00000LRfmOAAT,503975,2020-01-27,0-25,Brazil,Health Care,Advertisement,Opportunity for Morgan713,Closed Won,Existing Business
0012w00000LRfsHAAT,2632925,2020-01-27,26-200,Russia,Health Care,Employee Referral,Opportunity for Hunter534,Prospecting,Existing Business
0012w00000LRfmIAAT,8577295,2020-01-28,0-25,Russia,Manufacturing,Employee Referral,Opportunity for McCoy365,Perception Analysis,New Business
0012w00000LRftpAAD,2745600,2020-01-28,Over 201,Belgium,Consumer Goods,Web,Opportunity for Massey714,Closed Won,New Business
0012w00000LRfp6AAD,3351780,2020-01-28,Over 201,India,Construction,Public Relations,Opportunity for Warner1943,Needs Analysis,New Business
0012w00000LRfkiAAD,2894390,2020-01-28,26-200,China,Computer Software,Employee Referral,Opportunity for Hunt362,Negotiation/Review,New Business
0012w00000LRft8AAD,5280,2020-01-28,Over 201,The United Kingdom,Travel,Web,Opportunity for Joseph1936,Closed Won,New Business
0012w00000LRfioAAD,1666850,2020-01-28,26-200,Canada,Manufacturing,Employee Referral,Opportunity for Newman536,Closed Won,New Business
0012w00000LRfgrAAD,918500,2020-01-28,Over 201,China,Health Care,Partner,Opportunity for Jackson611,Perception Analysis,Existing Business
0012w00000LRfu1AAD,98850,2020-01-29,26-200,China,Manufacturing,Word of mouth,Opportunity for Freeman717,Value Proposition,Existing Business
